,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
175683,0ju1s2ehbWoDjlPBalnGvb,Ohituskaistalla (feat. Mikael Gabriel),38,212933,0,"['Cheek', 'Mikael Gabriel']","['5ZZqIQ25HQmufjjf2trwFO', '79Pc4RR5E625J7dK543jDw']",2012-04-04,0.734,0.9,6,-5.652,1,0.187,0.0244,0.0,0.253,0.674,107.915,4
364355,6OYoKP4YiUmJbpdYlWnUtR,"Yurtta Barış, Dünyada Barış",16,178440,0,['İlhan İrem'],['52ZUYpWgLZaJJDEum4P2KH'],1988,0.637,0.549,1,-11.41,0,0.0636,0.554,0.0,0.109,0.881,149.555,4
69256,0ip3MFKPt3q8ct6tjxU9XC,Corazón De Sandía,48,239093,0,['Los Tetas'],['4yjiCh3gayolGLTCVpHojS'],1995,0.773,0.533,2,-11.233,1,0.153,0.156,0.00571,0.109,0.764,90.022,4
232164,06piYqKnNBUHLitXYuscTV,מכל הכוכבים בלילה,43,192036,0,"['Eyal Golan', 'Idan Raichel']","['54jZWpivOTllo1afYNSx5U', '5EBnQEKoaiAk37Q7cfGrE1']",2021-03-21,0.563,0.272,6,-7.821,0,0.0559,0.946,0.0,0.108,0.406,130.633,4
477923,2kRfyXThQp05KsE9otkQCq,Besame,45,196650,0,['Zion'],['1pgDilWYDWLoOgGjf1iHNu'],2007-06-05,0.742,0.744,0,-6.061,1,0.0449,0.193,0.0,0.0927,0.716,93.98,4
400615,1q27RzRt3dOI4v0owlHCvi,"Violin Concerto in A Minor, Op. 82: III. Più animato",4,364307,0,"['Alexander Glazunov', 'Jascha Heifetz', 'Walter Hendl', 'RCA Victor Symphony Orchestra']","['78t7WfwhjZLkDHN5QKwS5u', '7yaBUcdjmqPP2vIv6F5bFD', '0HWuonL171C0P8kDgweL4B', '1JDbACEgV5erBN0YAOkrg4']",1959,0.206,0.0895,10,-24.449,1,0.0506,0.953,0.564,0.238,0.174,74.363,4
33613,3P3xONUKHDynX6Fs93VHZl,Soul - Hidden Track,42,32680,0,['Sam Cooke'],['6hnWRPzGGKiapVX1UCdEAC'],1960-01-01,0.54,0.348,11,-18.788,0,0.857,0.942,0.00028,0.416,0.497,91.646,1
372550,61mK0IzKXlNJ5WWnTjP1IW,Araftayım,47,246220,0,['Ebru Gündeş'],['5AboYJAlMb9FGadTTDKRoN'],2014-10-16,0.355,0.728,2,-5.711,0,0.0747,0.125,0.0,0.154,0.171,82.411,4
81428,3j7jhJGzbqdcR1U7a6NsxE,Chi Tene 'O Mare - Remastered 2008,8,165720,0,['Pino Daniele'],['2eFv7NVs8R6Go7msuqikeg'],2008-01-01,0.445,0.649,2,-5.882,0,0.0296,0.392,0.00409,0.084,0.342,117.265,4
107681,3drQLSnECw7QSHMysFqFx7,Walkaway,54,231733,0,['Cast'],['0vBDEQ1aLZpe4zgn2fPH6Z'],1995-01-01,0.467,0.481,11,-10.17,1,0.0233,0.034,0.0102,0.106,0.328,80.043,4
