,id,followers,genres,name,popularity
96190,3zO2ODcb95Y96n0Gl1bzHt,44861.0,"['russian punk', 'russian rock', 'russian ska']",Elysium,45
359021,05UJDyvq3DKTMdJlzipjhg,97.0,['japanese instrumental'],BGM コンシェルジュ,18
766436,6TgVDTdWW2gL92e8C5tRSM,636.0,['hong kong rock'],慘慘豬 CharmCharmChu,5
366625,3Wu4rnX6UKAMtTlUL2IAj4,18738.0,"['afropop', 'azontobeats', 'nigerian hip hop']",Chidinma,36
787239,2sQYNkZ4mTjYGeMLnVNwgH,24.0,['detskie rasskazy'],Александр Лившиц,4
172062,0BlAYzmbwYYgNM85bIFZ95,1000.0,['musikkorps'],Das Luftwaffenmusikkorps 3,21
821749,5a8HO7Xg75VKIkqwrqq9D6,37.0,[],Vulture Kings,0
645572,00bs1yL4Y6IdCYR2ORPr1v,10.0,[],Sunnyday Orange',0
755472,2bOcNBBnTo0gCeoSwkRZCB,1897.0,['basque folk'],Anne Etchegoyen,21
359839,21zwilVoFTgK3oEcARU8kX,5.0,[],Mr.Da,1
858484,18VXvFJ6EdDO16Ju7yRc7J,3.0,[],Eleonora Bekova,2
396095,73CVmdK7woVFI7mhBGnGU8,38.0,[],The Four Internes,1
705335,2mL7I8uE95aOsy5mREtqck,290.0,[],Frankie and the Giants,3
328301,6zfhE1cRhSUUDwDTraThEE,8.0,[],Antje,0
113101,32rHhTJD4rD4o7kdQ7byzY,635.0,[],王菊 Naomi Wong,25
282294,3xeGc7C7GxLkfEBgUFkLDs,322.0,['bangla'],Zooel,0
749311,6VMZtIttp7AzkGKOCJJ4QL,450.0,"['irish hip hop', 'irish underground rap']",Leo Miyagee,10
828563,7jnz4ZbPvQCjrgaTajdn94,25.0,[],DJ Sane,3
43009,0OEaxZDb7bJl6rKjyb1JsH,1.0,[],2tray,0
622309,5SdgFIOceaMGa709GbKXUy,106.0,[],Autocontrol,2
931018,69QbHqWqQ2nZ60eA6ZOn4g,806.0,['belgian techno'],BETON,18
279647,4JRDh5SjPAL7AE8btAfxnm,81.0,[],JV,18
521554,5THnBZwjFN3xt4jKffUOvq,64.0,[],Jutta Borms,15
369427,5puYkZFJ4JkrJGEYnMSNVd,3645.0,[],Euphoria,24
626073,0qiDXyMcygw4D3QZOpeZyp,345.0,[],Elbee Bad,7
330320,3TilfAsFA3C9Gg8ultRCAY,218.0,[],Kree Woods,0
845107,4eDkaLQcam2cyul9Wjf1yX,26151.0,[],Newsted,28
118750,1IGPpaSY0UnR9RHIMV9wVi,0.0,[],Bekannter Interpret,0
686094,26011SG2xdl4cstuV1h7C5,116.0,[],DJ Heny.G,3
368010,3qW4C1RMwAYqVVEJRkeqhS,526.0,[],Newsies Company,0
209261,4NAod6SQ2f7tah0d6TZeel,4173.0,['classic indonesian rock'],Gong 2000,17
133643,1fZTpSUFhwWdafzC2RJ1ob,198.0,['jazz accordion'],Joe Mooney,6
364112,3Q0peIbCmkLdGVApusYkyK,3491.0,[],Bixel Boys,30
686460,3Q7Z2uNnj7uHo4sgIfR3b6,5808.0,[],Retrohandz,18
796281,6dEbSmazehOCEila1fwhWd,2138.0,[],For the Better,0
84514,0KmsmTa4P0BccDkAYPFcja,0.0,[],Avery Yoda,0
927655,21h0WH5JMn5uievVYv6lEQ,45.0,[],Nancy Toro,1
606746,5a1lFYTTtfDeWioyE6VwOh,531.0,['turkish trap pop'],Eren,30
426577,7j6SZiZe5cdqS4vhf4oIt1,14.0,[],Ghetto Soul,0
286297,4xtqL1fDH14CSdnwisFoLh,7.0,[],Lena Klefelt,10
230762,3mTVKCxS5jHVIh7zSggSZb,2375.0,['smooth jazz'],Brian Hughes,33
172482,3kvyFjKgvXoceM8EjlS9j8,2261.0,"['czech hip hop', 'czsk hip hop']",BADBOY BERLIN,35
620244,2yEAzXjizYzad2LTwfYMca,238.0,['downtempo fusion'],Blue Tofu,7
274207,6Amp8N2ZBwOjSIsV8UF2fE,10741.0,"['brega romantico', 'tecnobrega']",Banda Metade,22
402845,7cR9nGQeRgwrjpvHOMqSK9,189.0,[],Daniel Jay Nielsen,10
66901,0ntzbBdKbiyPx06Xscs9UI,42239.0,['classic opm'],Kuh Ledesma,42
993110,61M7velqE8xIxOG7ow40Ea,14.0,['beach music'],Bradford & Bell,3
856112,7qawi8C7nNrz2F4nTsQB4L,398.0,[],Banda Serenata Huasteca,12
316294,2S7pWu7RCCvhPc1PdjfMeA,15.0,['electro latino'],Arake,4
